MAG	Depth	Bacteria	Phylum	Class	Order	Family	Genus	Species
AcS11-24	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__UBA7541	s__
AcS11-25	Surface	d__Bacteria	p__Verrucomicrobiota_A	c__Chlamydiia	o__Parachlamydiales	f__Rhabdochlamydiaceae	g__	s__
AcS11-26	Surface	d__Bacteria	p__Verrucomicrobiota_A	c__Chlamydiia	o__Parachlamydiales	f__Rhabdochlamydiaceae	g__	s__
AcS11-27	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
AcS11-28	Surface	d__Bacteria	p__Patescibacteria	c__Paceibacteria	o__UBA9983	f__UBA11359	g__PALSA-1337	s__
AcS11-29	Surface	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Palsa-1150	s__
AcS11-3	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__Pedosphaeraceae	g__UBA11358	s__
AcS11-30	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS11-31	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS11-32	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__PALSA-457	s__
AcS11-33	Surface	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Solirubrobacterales	f__Solirubrobacteraceae	g__Palsa-744	s__
AcS11-34	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__UBA7541	f__UBA7541	g__	s__
AcS11-35	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Rhodopila	s__
AcS11-36	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Bog-159	s__
AcS11-37	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Terracidiphilus	s__
AcS11-38	Surface	d__Bacteria	p__Verrucomicrobiota_A	c__Chlamydiia	o__Parachlamydiales	f__Rhabdochlamydiaceae	g__	s__
AcS11-4	Surface	d__Bacteria	p__FCPU426	c__Palsa-1180	o__Palsa-1180	f__Palsa-1180	g__Bog-1183	s__
AcS11-40	Surface	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Palsa-459	s__
AcS11-41	Surface	d__Bacteria	p__Verrucomicrobiota_A	c__Chlamydiia	o__Parachlamydiales	f__SM23-39	g__	s__
AcS11-42	Surface	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__ATCC43930	f__Stellaceae	g__	s__
AcS11-43	Surface	d__Bacteria	p__Eremiobacterota	c__Eremiobacteria	o__UBP12	f__UBA5184	g__Bog-1524	s__
AcS11-44	Surface	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Streptosporangiales	f__Streptosporangiaceae	g__Palsa-504	s__
AcS11-45	Surface	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Koribacteraceae	g__Bog-209	s__
AcS11-46	Surface	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Palsa-1447	s__
